key,count,self_device_time_us,self_cpu_time_us,flops
FSDP::all_gather (transformer_blocks.3._checkpoint_wrapped_module),2,13038.551999999909,0,0
main_transformer/V/transformer_blocks.3._checkpoint_wrapped_module.attn.to_v,2,12475.847000000067,0,0
main_transformer/K/transformer_blocks.3._checkpoint_wrapped_module.attn.to_k,2,12463.14599999995,0,0
aten::silu,20,12050.898000000889,591.7300000008981,0
"void at::native::elementwise_kernel<128, 4, at::native::gpu_kernel_impl_nocast<at::native::(anonymous namespace)::silu_kernel(at::TensorIteratorBase&)::{lambda()#1}::operator()() const::{lambda()#6}::operator()() const::{lambda(c10::BFloat16)#1}>(at::TensorIteratorBase&, at::native::(anonymous namespace)::silu_kernel(at::TensorIteratorBase&)::{lambda()#1}::operator()() const::{lambda()#6}::operator()() const::{lambda(c10::BFloat16)#1} const&)::{lambda(int)#1}>(int, at::native::gpu_kernel_impl_nocast<at::native::(anonymous namespace)::silu_kernel(at::TensorIteratorBase&)::{lambda()#1}::operator()() const::{lambda()#6}::operator()() const::{lambda(c10::BFloat16)#1}>(at::TensorIteratorBase&, at::native::(anonymous namespace)::silu_kernel(at::TensorIteratorBase&)::{lambda()#1}::operator()() const::{lambda()#6}::operator()() const::{lambda(c10::BFloat16)#1} const&)::{lambda(int)#1})",10,11978.23100000029,0,0
aten::fill_,85,11753.186000002373,10618.986000001383,0
main_transformer/Q/transformer_blocks.0._checkpoint_wrapped_module.attn.to_q,2,11705.184000000561,0,0
aten::_foreach_addcdiv_,2,10765.43700000085,338.01800000015646,0
"void at::native::(anonymous namespace)::multi_tensor_apply_kernel<at::native::(anonymous namespace)::TensorListScalarListMetadata<float, 3>, at::native::(anonymous namespace)::PointwiseOpScalarListFunctor<c10::BFloat16, 3, 3, 0>, std::divides<float> >(at::native::(anonymous namespace)::TensorListScalarListMetadata<float, 3>, at::native::(anonymous namespace)::PointwiseOpScalarListFunctor<c10::BFloat16, 3, 3, 0>, std::divides<float>)",82,10765.43700000085,0,0
"void at::native::vectorized_elementwise_kernel<4, at::native::FillFunctor<float>, std::array<char*, 1ul> >(int, at::native::FillFunctor<float>, std::array<char*, 1ul>)",53,10241.10500000196,0,0
"void at::native::vectorized_elementwise_kernel<4, at::native::CUDAFunctorOnSelf_add<float>, std::array<char*, 2ul> >(int, at::native::CUDAFunctorOnSelf_add<float>, std::array<char*, 2ul>)",22,10115.342000000455,0,0
"void at::native::(anonymous namespace)::CatArrayBatchedCopy_vectorized<at::native::(anonymous namespace)::OpaqueType<4u>, unsigned int, 1, 128, 1, 16, 4>(char*, at::native::(anonymous namespace)::CatArrInputTensorMetadata<at::native::(anonymous namespace)::OpaqueType<4u>, unsigned int, 128, 1>, at::native::(anonymous namespace)::TensorSizeStride<unsigned int, 4u>, int, unsigned int)",8,9522.688999998732,0,0
aten::_foreach_lerp_,2,8448.449999999255,402.82300000078976,0
"void at::native::(anonymous namespace)::multi_tensor_apply_kernel<at::native::(anonymous namespace)::TensorListMetadata<2>, at::native::(anonymous namespace)::TernaryOpScalarFunctor<c10::BFloat16, 2, 2, 0>, at::native::LerpFunctor<float>, float>(at::native::(anonymous namespace)::TensorListMetadata<2>, at::native::(anonymous namespace)::TernaryOpScalarFunctor<c10::BFloat16, 2, 2, 0>, at::native::LerpFunctor<float>, float)",82,8448.449999999255,0,0
aten::_foreach_addcmul_,2,8272.641999994405,336.61499999742955,0
"void at::native::(anonymous namespace)::multi_tensor_apply_kernel<at::native::(anonymous namespace)::TensorListMetadata<3>, at::native::(anonymous namespace)::PointwiseOpScalarFunctor<c10::BFloat16, 3, 3, 0>, std::multiplies<float>, float>(at::native::(anonymous namespace)::TensorListMetadata<3>, at::native::(anonymous namespace)::PointwiseOpScalarFunctor<c10::BFloat16, 3, 3, 0>, std::multiplies<float>, float)",82,8272.641999994405,0,0
aten::neg,28,7955.50500000178,388.2659999966272,0
"void at::native::elementwise_kernel<128, 2, at::native::gpu_kernel_impl_nocast<at::native::neg_kernel_cuda(at::TensorIteratorBase&)::{lambda()#2}::operator()() const::{lambda()#7}::operator()() const::{lambda(float)#1}>(at::TensorIteratorBase&, at::native::neg_kernel_cuda(at::TensorIteratorBase&)::{lambda()#2}::operator()() const::{lambda()#7}::operator()() const::{lambda(float)#1} const&)::{lambda(int)#1}>(int, at::native::gpu_kernel_impl_nocast<at::native::neg_kernel_cuda(at::TensorIteratorBase&)::{lambda()#2}::operator()() const::{lambda()#7}::operator()() const::{lambda(float)#1}>(at::TensorIteratorBase&, at::native::neg_kernel_cuda(at::TensorIteratorBase&)::{lambda()#2}::operator()() const::{lambda()#7}::operator()() const::{lambda(float)#1} const&)::{lambda(int)#1})",24,7934.609000001597,0,0
aten::addmm,16,7400.869999999952,825.0330000001122,74262085632
aten::silu_backward,12,6978.415000000503,129.88999999908265,0
"void at::native::elementwise_kernel<128, 4, at::native::gpu_kernel_impl_nocast<at::native::(anonymous namespace)::silu_backward_kernel(at::TensorIteratorBase&)::{lambda()#1}::operator()() const::{lambda()#4}::operator()() const::{lambda(c10::BFloat16, {lambda()#4})#1}>(at::TensorIteratorBase&, at::native::(anonymous namespace)::silu_backward_kernel(at::TensorIteratorBase&)::{lambda()#1}::operator()() const::{lambda()#4}::operator()() const::{lambda(c10::BFloat16, {lambda()#4})#1} const&)::{lambda(int)#1}>(int, at::native::gpu_kernel_impl_nocast<at::native::(anonymous namespace)::silu_backward_kernel(at::TensorIteratorBase&)::{lambda()#1}::operator()() const::{lambda()#4}::operator()() const::{lambda(c10::BFloat16, {lambda()#4})#1}>(at::TensorIteratorBase&, at::native::(anonymous namespace)::silu_backward_kernel(at::TensorIteratorBase&)::{lambda()#1}::operator()() const::{lambda()#4}::operator()() const::{lambda(c10::BFloat16, {lambda()#4})#1} const&)::{lambda(int)#1})",6,6957.102999999886,0,0
"void at::native::(anonymous namespace)::CatArrayBatchedCopy_vectorized<at::native::(anonymous namespace)::OpaqueType<2u>, unsigned int, 3, 128, 1, 16, 8>(char*, at::native::(anonymous namespace)::CatArrInputTensorMetadata<at::native::(anonymous namespace)::OpaqueType<2u>, unsigned int, 128, 1>, at::native::(anonymous namespace)::TensorSizeStride<unsigned int, 4u>, int, unsigned int)",6,6376.927999999607,0,0
"void at::native::(anonymous namespace)::GammaBetaBackwardCUDAKernelTemplate<float, float, 32u, 1u, 32u, true, false, true>(long, long, float const*, float const*, float const*, float const*, float*, float*)",8,6224.86599999899,0,0
ampere_bf16_s16816gemm_bf16_128x64_ldg8_relu_f2f_stages_64x3_tn,8,6145.41699999987,0,0
aten::_foreach_div_,2,5940.745999997482,266.16499999631196,0
"void at::native::(anonymous namespace)::multi_tensor_apply_kernel<at::native::(anonymous namespace)::TensorListScalarListMetadata<float, 1>, at::native::(anonymous namespace)::BinaryOpScalarListFunctor<c10::BFloat16, 1, 1, 0>, std::divides<float> >(at::native::(anonymous namespace)::TensorListScalarListMetadata<float, 1>, at::native::(anonymous namespace)::BinaryOpScalarListFunctor<c10::BFloat16, 1, 1, 0>, std::divides<float>)",82,5940.745999997482,0,0
aten::_foreach_mul_,2,5910.062999995425,256.4539999961853,0
"void at::native::(anonymous namespace)::multi_tensor_apply_kernel<at::native::(anonymous namespace)::TensorListMetadata<1>, at::native::(anonymous namespace)::BinaryOpScalarFunctor<c10::BFloat16, 1, 1, 0>, std::multiplies<float>, float>(at::native::(anonymous namespace)::TensorListMetadata<1>, at::native::(anonymous namespace)::BinaryOpScalarFunctor<c10::BFloat16, 1, 1, 0>, std::multiplies<float>, float)",82,5910.062999995425,0,0
aten::_foreach_sqrt,2,5860.620999999344,460.9569999985397,0
"void at::native::(anonymous namespace)::multi_tensor_apply_kernel<at::native::(anonymous namespace)::TensorListMetadata<2>, at::native::(anonymous namespace)::UnaryOpFunctor<c10::BFloat16, 2, 1, 1>, at::native::Sqrt<float> >(at::native::(anonymous namespace)::TensorListMetadata<2>, at::native::(anonymous namespace)::UnaryOpFunctor<c10::BFloat16, 2, 1, 1>, at::native::Sqrt<float>)",82,5860.620999999344,0,0
aten::_foreach_add_,3,5826.7329999972135,481.67599999997765,0
"void at::native::(anonymous namespace)::multi_tensor_apply_kernel<at::native::(anonymous namespace)::TensorListMetadata<1>, at::native::(anonymous namespace)::BinaryOpScalarFunctor<c10::BFloat16, 1, 1, 0>, std::plus<float>, float>(at::native::(anonymous namespace)::TensorListMetadata<1>, at::native::(anonymous namespace)::BinaryOpScalarFunctor<c10::BFloat16, 1, 1, 0>, std::plus<float>, float)",82,5826.7329999972135,0,0
FSDP::post_backward_reduce (transformer_blocks.0._checkpoint_wrapped_module),2,5609.078999999911,0,0
FSDP::post_backward_reduce (transformer_blocks.1._checkpoint_wrapped_module),2,5579.7050000000745,0,0
FSDP::post_backward_reduce (transformer_blocks.3._checkpoint_wrapped_module),2,5555.097000000067,0,0
FSDP::post_backward_reduce (transformer_blocks.2._checkpoint_wrapped_module),2,5553.305000000168,0,0
"void at::native::(anonymous namespace)::GammaBetaBackwardCUDAKernelTemplate<float, float, 32u, 32u, 256u, false, false, true>(long, long, float const*, float const*, float const*, float const*, float*, float*)",13,5430.651999999769,0,0
"void at::native::vectorized_elementwise_kernel<4, at::native::BinaryFunctor<c10::BFloat16, c10::BFloat16, c10::BFloat16, at::native::binary_internal::MulFunctor<float> >, std::array<char*, 3ul> >(int, at::native::BinaryFunctor<c10::BFloat16, c10::BFloat16, c10::BFloat16, at::native::binary_internal::MulFunctor<float> >, std::array<char*, 3ul>)",6,4675.700000000419,0,0
FSDP::all_gather_copy_out (transformer_blocks.1._checkpoint_wrapped_module),2,4535.191000000166,0,0
ncclDevKernel_AllReduce_Sum_f64_RING_LL(ncclDevKernelArgsStorage<4096ul>),1,4429.146999999881,0,0
FSDP::all_gather_copy_out (transformer_blocks.2._checkpoint_wrapped_module),2,3938.568000000436,0,0
FSDP::all_gather_copy_out (transformer_blocks.0._checkpoint_wrapped_module),2,3897.3880000003264,0,0
FSDP::all_gather (transformer_blocks.2._checkpoint_wrapped_module),2,3892.299000000028,0,0
FSDP::all_gather_copy_out (transformer_blocks.3._checkpoint_wrapped_module),2,3891.690999999875,0,0
ampere_bf16_s1688gemm_bf16_128x128_ldg8_f2f_stages_32x1_nt,20,3815.7569999995176,0,0
FSDP::all_gather (transformer_blocks.1._checkpoint_wrapped_module),2,3633.233999999822,0,0
FSDP::all_gather (transformer_blocks.0._checkpoint_wrapped_module),2,3630.5780000000814,0,0
prepare_batch,1,3564.597000000009,0,0
"void pytorch_flash::flash_bwd_dot_do_o_kernel<true, Flash_bwd_kernel_traits<128, 64, 128, 8, 2, 4, 2, false, false, cutlass::bfloat16_t, Flash_kernel_traits<128, 64, 128, 8, cutlass::bfloat16_t> > >(pytorch_flash::Flash_bwd_params)",6,3293.405000000028,0,0
FSDP::post_backward_reduce (token_refiner.refiner_blocks.1),2,3199.328000000678,0,0
FSDP::post_backward_reduce (token_refiner.refiner_blocks.0),2,3191.264000000432,0,0
"void pytorch_flash::flash_bwd_convert_dq_kernel<Flash_bwd_kernel_traits<128, 64, 128, 8, 2, 4, 2, false, false, cutlass::bfloat16_t, Flash_kernel_traits<128, 64, 128, 8, cutlass::bfloat16_t> > >(pytorch_flash::Flash_bwd_params, int)",6,2444.503000000026,0,0
FSDP::all_gather (token_refiner.refiner_blocks.1),2,2358.840999999942,0,0
FSDP::all_gather_copy_out (token_refiner.refiner_blocks.0),2,2352.8569999999017,0,0
FSDP::all_gather_copy_out (token_refiner.refiner_blocks.1),2,2339.89799999971,0,0
main_transformer/AdaLN-block/transformer_blocks.1._checkpoint_wrapped_module.adaln_proj.linear,2,2094.0490000000573,0,0
main_transformer/AdaLN-block/transformer_blocks.2._checkpoint_wrapped_module.adaln_proj.linear,2,1716.5569999995641,0,0
ampere_bf16_s16816gemm_bf16_256x64_ldg8_f2f_stages_64x3_nn,12,1700.5889999987558,0,0
"void at::native::(anonymous namespace)::CatArrayBatchedCopy_vectorized<at::native::(anonymous namespace)::OpaqueType<2u>, unsigned int, 2, 128, 1, 16, 8>(char*, at::native::(anonymous namespace)::CatArrInputTensorMetadata<at::native::(anonymous namespace)::OpaqueType<2u>, unsigned int, 128, 1>, at::native::(anonymous namespace)::TensorSizeStride<unsigned int, 4u>, int, unsigned int)",12,1638.1910000007047,0,0
FSDP::all_gather (token_refiner.refiner_blocks.0),2,1630.832000000053,0,0
void cutlass::Kernel2<cutlass_80_tensorop_s16816gemm_bf16_256x64_64x3_nn_align8>(cutlass_80_tensorop_s16816gemm_bf16_256x64_64x3_nn_align8::Params),4,1528.1150000006892,0,0
"void at::native::vectorized_elementwise_kernel<4, at::native::FillFunctor<c10::BFloat16>, std::array<char*, 1ul> >(int, at::native::FillFunctor<c10::BFloat16>, std::array<char*, 1ul>)",19,1507.7300000004034,0,0
main_transformer/AdaLN-block/transformer_blocks.3._checkpoint_wrapped_module.adaln_proj.linear,2,1421.3969999999972,0,0
aten::index_copy_,3,1345.9759999999806,51.48200000003271,0
"void at::native::index_elementwise_kernel<128, 4, at::native::index_copy_kernel_impl<at::native::OpaqueType<4> >(at::TensorIterator&, long, long, long)::{lambda(int)#1}>(long, at::native::index_copy_kernel_impl<at::native::OpaqueType<4> >(at::TensorIterator&, long, long, long)::{lambda(int)#1})",3,1345.9759999999806,0,0
aten::div,7,1224.4120000000694,150.0280000007042,0
"void at::native::vectorized_elementwise_kernel<4, at::native::BUnaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float> >, std::array<char*, 2ul> >(int, at::native::BUnaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float> >, std::array<char*, 2ul>)",4,1216.411999999822,0,0
